latitude,longitude
40.7938021082,-73.9728245885
40.7520896941,-73.9753722399
40.755108,-73.986237
40.712459,-74.008323
40.7331420242,-73.980899609
40.761602819,-73.9807232469
40.7586812426,-73.9709530566
40.7760549,-73.9501666
40.77922,-73.94723
40.7337265,-73.9866562
40.736991,-73.996664
40.7616958618,-73.9817962646
40.7710991,-73.956871
40.754394,-73.976104
40.7116370156,-74.0067300015
40.7371088345,-73.9904780319
40.70588,-74.00867
40.7301292,-73.9917679
40.6385356933,-74.1317624599
40.7149506,-74.0060806
40.7411995,-74.0009995
40.7253213081,-73.9981092712
40.7624397,-73.9796982
40.7297743857,-73.9905857295
40.726104,-74.005519
40.7430196646,-74.0003835106
40.761463,-73.973503
40.7864914,-73.9721832
40.7623749,-73.9657593
40.7045938075,-74.0092887729
40.7089195,-74.0114594
40.7621117,-73.9864273
40.7641119883,-73.9789419373
40.7657215004,-73.9863967896
40.736991,-73.996664
40.7407837,-74.0019608
40.70433,-74.013235
40.7650032,-73.9791336
40.7373428,-74.0017395
40.8510444961,-73.9384103737
40.7530403,-73.9994278
40.77922,-73.94723
40.760891,-73.983902
40.79586,-73.970207
40.7350197,-73.9898376
40.7725356233,-73.9497789209
40.841301,-73.9398651
40.7713508606,-73.9826812744
40.749073,-73.983703
40.745236184,-73.9908568708
40.7182026654,-74.0001209825
40.741844,-73.993233
40.752598,-73.99276
40.7616119385,-73.9899749756
40.7497711182,-73.9731826782
40.7182026654,-74.0001209825
40.7415733337,-73.9903793335
40.719348,-73.98986
40.705276,-74.011047
40.7489128113,-73.9925537109
40.756771,-73.985634
40.7671867706,-73.9845248756
40.7513466,-73.9778824
40.750747,-73.979354
40.733112,-74.0027
40.7549095,-73.9733124
40.73368,-74.00613
40.7522697,-73.9869385
40.7601891,-73.9843521
40.7483822107,-73.9846714586
40.7435853108,-73.9921631884
40.7140312195,-74.0158843994
40.7626415044,-73.9784923196
40.7489289,-73.9828063
40.726868,-74.000282
40.7698840124,-73.9546626068
40.7558784,-73.9747925
40.8233369313,-73.9426781189
40.7647209167,-73.9811859131
40.7109008326,-74.0102491363
40.7400748,-73.9867735
40.7564516907,-73.9782621746
40.7582259178,-73.9743858576
40.7602882,-73.9182281
40.7618683577,-73.9789208025
40.755108,-73.986237
40.7671867706,-73.9845248756
40.7420595735,-73.9807118475
40.738781,-73.9835205
40.7510689445,-73.9936280251
40.748455,-73.9847488
40.738781,-73.9835205
40.7404060364,-73.9914169312
40.661434,-73.840198
40.7591288594,-73.9795772589
40.7497711182,-73.9731826782
40.7799549,-73.9771966
40.7205734,-74.0102768
40.7624588,-73.9741211
40.7087226807,-74.009443759
40.7224,-73.997886
40.732964,-73.999664
40.752598,-73.99276
40.7530937,-73.9795532
40.7476578,-73.985321
40.7027725875,-74.0125228465
40.7293995699,-73.9873681448
40.77922,-73.94723
40.7032927525,-74.0141397774
40.7616958618,-73.9817962646
40.706799,-74.009725
40.745236184,-73.9908568708
40.7297743857,-73.9905857295
40.8060837,-73.9543381
40.752388,-73.9779663
40.7109008326,-74.0102491363
40.7449417,-73.986908
40.7858381053,-73.9511203766
40.7415733337,-73.9903793335
40.7371088345,-73.9904780319
40.748219,-73.989342
40.756771,-73.985634
40.7725356233,-73.9497789209
40.761018768,-73.9795377105
40.7510689445,-73.9936280251
40.7136658,-74.0091347
40.7641373,-73.9822311
40.7116370156,-74.0067300015
40.7149506,-74.0060806
40.733112,-74.0027
40.7253213081,-73.9981092712
40.7301292,-73.9917679
40.7864914,-73.9721832
40.7989228659,-73.9683342223
40.732964,-73.999664
40.7638283,-73.9771423
40.7624588,-73.9741211
40.7273818552,-73.9951783419
40.7641373,-73.9822311
40.7087226807,-74.009443759
40.705276,-74.011047
40.752598,-73.99276
40.7675070316,-73.9827268571
40.841301,-73.9398651
40.7205734,-74.0102768
40.7621117,-73.9864273
40.7438,-73.97683
40.774222409,-73.981368797
40.7435853108,-73.9921631884
40.7331420242,-73.980899609
40.733112,-74.0027
40.73368,-74.00613
40.7539253235,-73.9714736938
40.7224,-73.997886
40.7337265,-73.9866562
40.7531455292,-73.97749722
40.7618683577,-73.9789208025
40.769332,-73.982643
40.7673606873,-73.9829025269
40.7580844313,-73.9891064912
40.7867386943,-73.9722718366
40.7924951613,-73.9731486887
40.7849121,-73.9788666
40.7835626,-73.9745191
40.760106,-73.882408
40.7350197,-73.9898376
40.7760549,-73.9501666
40.7543106,-73.9825439
40.769332,-73.982643
40.7476578,-73.985321
40.7337265,-73.9866562
40.7740294933,-73.9595063031
40.7553482,-73.9908218
40.7647209167,-73.9811859131
40.7510109,-73.9870911
40.7556345007,-73.9841490984
40.7520896941,-73.9753722399
40.7245064,-73.9877396
40.743927,-73.988693
40.7435853108,-73.9921631884
40.7626415044,-73.9784923196
40.7551956177,-73.9794845581
